EVENTID|LAT|LONGI|TO_CHAR(STTIME,'YYYYMMDDHH24:MI')|ONSTREET_PENNY|DIRECTION|ADMINCITY|DESCRIPTION|AFFECTEDLANECNT|EVENT_STATUS
938|34.053743|-118.234183|20120601 09:22|MISSI|0|Central Los Angeles|1125 - Traffic Hazard|0|2
938|34.148712|-118.469367|20120606 09:25|I405|1|West Valley|1125 - Traffic Hazard|0|2
938|33.91474|-117.4419|20120613 17:30|SR91|2|Riverside|1183 - Traffic Collision - No Details|0|2
938|34.121612|-117.907575|20120607 09:17|1ST|2|Baldwin Park|20002 - Hit and Run - No Injuries|0|2
938|34.423166|-118.583436|20120608 08:54|I5|1|Newhall|1125 - Traffic Hazard|0|2
938|34.259773|-118.329684|20120616 09:43|I210|3|Altadena|1183 - Traffic Collision - No Details|0|2
938|34.14969|-118.155677|20120623 10:06|I210|2|Altadena|1125 - Traffic Hazard|0|2
938|34.049372|-118.26406|20120622 09:32|I110|0|Central Los Angeles|1125 - Traffic Hazard|0|2
939|33.873598|-118.236055|20120603 07:44|SR91|2|South Los Angeles|ANIMAL - Live or Dead Animal|0|2
939|33.99522|-117.362052|20120604 16:34|MAIN|130|Riverside|1125 - Traffic Hazard|0|2
939|34.072252|-117.942912|20120604 11:15|I10|3|Baldwin Park|1182 - Traffic Collision - No Injuries|0|2
939|34.087219|-117.670146|20120608 15:53|I10|2|Rancho Cucamonga|1125 - Traffic Hazard|0|2
939|34.121296|-117.302979|20120610 18:02|I215|1|San Bernardino|1182 - Traffic Collision - No Injuries|0|2
939|33.826374|-118.207482|20120621 10:12|I405|1|South Los Angeles|1125 - Traffic Hazard|0|2
939|34.029139|-118.214318|20120619 09:19|I5|0|Central Los Angeles|1125 - Traffic Hazard|0|2
939|34.147941|-118.08206|20120625 10:00|I210|3|Altadena|1183 - Traffic Collision - No Details|0|2
939|34.069124|-117.352952|20120622 15:29|I10|3|San Bernardino|1183 - Traffic Collision - No Details|0|2
939|34.170397|-118.501091|20120627 09:20|US101|2|West Valley|1125 - Traffic Hazard|0|2
940|33.873365|-118.216819|20120603 07:45|SR91|2|South Los Angeles|1125 - Traffic Hazard|0|2
940|33.927554|-117.419764|20120602 18:06|SR91|3|Riverside|CFIRE - Car Fire|0|2
940|34.062669|-118.248633|20120604 11:16|I110|0|Central Los Angeles|1125 - Traffic Hazard|0|2
940|33.92462|-118.23612|20120607 09:18|119TH|2|South Los Angeles|1182 - Traffic Collision - No Injuries|0|2
940|33.803949|-117.154428|20120609 18:16|NUEVO|130|Riverside|FIRE - Report of Fire|0|2
